node,Proportional,Uniform
1,982.8607,944.1262
2,1361.0601,1310.7488
3,746.4879,677.8165
4,456.1251,407.3727
5,986.4986,906.3473
6,1004.2136,956.1967
7,933.8645,864.4220
8,499.5611,454.6122
9,1295.4792,1145.9533
10,637.8640,595.7705
11,556.3654,504.2586
12,498.5051,460.1326
13,1031.2907,921.8868
14,498.5882,461.0720
15,705.6279,647.5101
16,661.6146,602.7674
17,622.1600,558.7762
18,1211.4747,1072.6124
19,2040.2322,1825.0149
20,1107.7296,983.1774
21,1010.4391,893.7036
22,383.2829,330.5720
23,2163.3138,1891.7625
24,4113.8447,3495.2010
25,340.1291,351.1840
26,43.8752,43.8073
27,725.8604,745.8117
28,43.8752,43.8073
29,434.2869,440.6990
30,41.8270,43.8981
31,209.4747,219.5806
32,288.9741,307.6487
33,465.3440,483.4218
34,721.2644,749.7934
35,123.4720,131.9659
36,217.4706,221.2054
37,83.6340,87.9773
38,164.6423,175.8639
39,597.5791,617.2857
40,515.5303,531.1085
41,206.0594,220.3044
42,331.9955,352.3609
43,128.1639,132.1466
44,257.9455,266.1820
45,376.3759,396.8008
46,436.2361,443.3982
47,735.2548,748.4383
48,208.8295,220.5753
49,296.0655,309.4540
50,422.4805,398.0615
51,677.9857,662.5364
52,685.4973,662.7142
53,538.6621,530.3891
54,485.6321,485.2286
55,483.6292,489.6256
56,437.3119,398.9596
57,577.1062,574.7380
58,486.2667,487.8368
59,169.2458,176.9465
60,582.8129,575.9057
61,752.0638,753.7498
62,176.0266,177.5745
63,412.4978,398.9600
64,539.8176,532.8113
65,1136.2902,1108.8075
66,703.4756,578.3236
67,637.5044,623.3855
68,286.4388,267.1658
69,638.9883,578.6804
70,963.2937,889.6596
71,455.9386,446.0783
72,380.5163,312.0499
73,1779.6818,1603.9695
74,776.8286,761.5010
75,1143.7147,982.6326
76,374.1693,356.0423
77,1044.5910,936.4141
78,273.0554,223.1727
79,638.9975,625.2563
80,415.9985,401.4613
81,482.5783,401.8173
82,642.1721,581.0837
83,527.2896,448.0318
84,372.3110,312.7619
85,939.8476,893.2229
86,369.2363,313.4718
87,244.5200,223.7059
88,2497.2597,2286.2629
89,579.6760,536.4669
90,843.9856,718.2130
91,1059.1565,988.3913
92,558.8952,493.0910
93,1220.3709,1035.4779
94,394.2130,358.7089
95,1096.5892,983.7008
96,1102.3946,945.0072
97,304.5917,269.6501
98,1218.6320,1077.6264
99,856.4082,764.1546
100,1366.8345,1260.5956
101,715.6482,630.6504
102,1475.8221,1305.5675
103,1397.4492,1173.9053
104,562.3941,495.2095
105,762.4451,674.3007
106,359.5292,316.8168
107,1421.7129,1216.7675
108,520.2238,451.5560
109,1587.9865,1401.8308
110,678.5097,588.0480
111,627.4739,550.1359
112,360.2615,316.2912
113,768.5942,676.9384
114,461.3183,407.0223
115,310.8727,272.2805
116,258.1664,226.2601
117,1015.4445,861.6388
118,850.5870,725.2365
119,474.8669,408.7684
120,1481.9941,1273.3637
121,590.6821,498.9771
122,103.9802,90.9922
123,3017.0927,2632.3224
124,855.0901,727.0662
125,784.7003,681.5710
126,1395.3271,1209.4670
127,459.7723,409.2039
128,754.7994,637.3782
129,53.1632,45.5829
130,162.5506,138.7936
131,757.3379,637.5519
132,106.4656,91.1657
133,1031.2102,913.6439
134,53.6073,45.6694
135,2211.7517,1918.7920
136,978.8615,823.2558
137,106.8549,91.3388
138,918.2927,777.4995
139,372.4757,320.1166
140,1684.3395,1459.5933
141,858.8355,734.9260
142,1061.5630,914.1587
143,3645.8318,3034.7071
144,3161.3229,2708.2504
145,694.3917,594.1290
146,805.1485,686.3298
147,1153.4853,966.1055
148,858.3148,733.4648
149,327.3427,276.4215
150,2157.0279,1798.5255
151,271.8011,230.7495
152,871.5763,738.4314
153,2110.9994,1843.1745
154,380.5160,323.2875
155,2238.7065,1895.6545
156,716.0692,603.0206
157,806.6085,694.1171
158,1833.8010,1532.4567
159,2416.7138,1995.6570
160,927.2917,788.5200
161,641.6096,557.5961
162,1198.2742,1023.8312
163,1381.3422,1206.7976
164,161.4692,139.4836
165,961.7681,838.9127
166,762.2949,652.9132
167,992.9112,839.0048
168,3522.1809,2936.2820
169,1308.1293,1122.4981
170,1732.1638,1451.4969
171,1016.0314,840.8493
172,1635.7107,1353.2668
173,1047.4091,890.0468
174,3149.9627,2677.8543
175,519.5757,422.8840
176,1659.5217,1362.1950
177,2240.5434,1838.7297
178,2857.4981,2449.3782
179,3108.8736,2594.9615
180,2733.1698,2265.2276
181,996.1345,847.0930
182,1014.4494,849.9800
183,826.3819,661.8850
184,1069.5239,899.0631
185,3047.4504,2470.4707
186,409.3124,332.1311
187,1077.5461,900.4571
188,2204.9805,1853.1659
189,1756.2324,1424.6975
190,3485.3626,2995.7504
191,1141.3619,950.6702
192,703.7759,571.1843
193,570.1140,477.2035
194,2916.3808,2433.6090
195,2459.1510,2058.9479
196,2282.8722,1818.1388
197,1172.0544,956.4282
198,236.1351,191.6083
199,2053.0750,1724.7880
200,593.7402,480.6649
201,59.4643,48.0025
202,2642.6124,2212.1868
203,2257.1116,1881.5880
204,1906.6082,1537.1938
205,1414.4100,1156.2904
206,906.5819,725.0560
207,2561.9959,2025.8303
208,1366.3442,1112.4172
209,2607.7566,2025.3410
210,542.1641,436.7078
211,487.8797,387.5986
212,1058.0842,873.8089
213,598.4507,486.0515
214,355.1432,292.4447
215,710.6000,585.2001
216,59.9110,48.8705
217,325.8501,380.4566
218,231.2244,267.1900
219,403.2675,458.6972
220,192.9646,229.6039
221,291.7621,345.3241
222,192.0012,230.2162
223,560.1829,654.3829
224,448.5338,539.7818
225,193.8738,231.2339
226,416.3368,501.5818
227,424.4388,502.9006
228,320.8748,387.5873
229,331.7768,387.1820
230,453.5766,543.4309
231,169.1227,194.3498
232,393.3814,465.6099
233,325.8885,389.3051
234,324.0633,389.9102
235,175.5435,194.9553
236,499.1608,584.9658
237,524.9144,623.8758
238,271.6754,312.2910
239,394.5072,467.5289
240,655.5689,784.7462
241,298.9054,353.9137
242,138.6915,156.5480
243,495.6158,587.8835
244,132.8958,157.1504
245,135.1489,156.6485
246,203.9806,234.9728
247,299.3406,351.9060
248,245.1881,274.6872
249,166.8056,195.9612
250,936.9434,1024.8272
251,100.4739,117.7374
252,402.6292,471.5508
253,303.6018,353.2120
254,472.3721,553.3765
255,269.1760,316.0012
256,236.2718,275.5891
257,271.2797,316.7992
258,168.9826,196.7635
259,302.6489,353.9137
260,338.8010,392.9257
261,135.2761,157.5510
262,269.4000,315.1019
263,475.3336,554.7723
264,202.8741,236.0760
265,377.3658,433.7395
266,670.0653,752.8340
267,311.3674,356.5112
268,169.8623,197.2637
269,632.0981,712.0246
270,411.9156,474.8501
271,239.5978,276.8876
272,272.0147,316.3007
273,452.4243,517.5462
274,102.2016,118.5381
275,204.8638,237.1756
276,171.2239,197.7629
277,240.1411,277.2865
278,618.2598,716.3047
279,238.8430,276.9877
280,102.5341,118.8372
281,557.4252,638.3684
