node,Proportional,Uniform
1,644.4240,1409.3050
2,1203.1866,2091.7400
3,484.4582,1011.7822
4,383.5339,608.0886
5,446.4544,1352.9120
6,1255.2749,1767.4024
7,425.6889,1290.3299
8,202.1624,678.6034
9,1013.7767,1710.5740
10,598.7680,1026.0399
11,402.7414,752.7110
12,1026.4846,1029.7537
13,539.3657,1376.1081
14,318.8759,688.2460
15,563.1116,966.5437
16,868.1851,1038.0146
17,833.6746,903.4087
18,875.9602,1601.0973
19,1849.2773,2724.2148
20,1806.3608,1816.3235
21,1367.0048,1544.8646
22,815.3880,775.3299
23,1976.9821,2965.3424
24,4380.7153,5792.2024
25,717.2959,720.1180
26,64.5553,65.3915
27,1635.9517,1243.9263
28,64.5553,65.3915
29,1196.9954,986.0108
30,31.9092,65.5270
31,207.4547,393.1613
32,254.7166,590.2837
33,344.4072,786.9992
34,1200.9655,1119.2228
35,120.7013,196.8514
36,825.7058,528.1238
37,78.0523,131.3244
38,325.5847,393.5675
39,571.7098,921.4275
40,869.8337,792.7901
41,174.9937,328.8502
42,247.8151,525.9720
43,123.7903,197.2564
44,720.7230,596.4660
45,363.3528,657.9700
46,634.4226,661.8641
47,613.9323,1117.2000
48,151.3683,329.2546
49,201.8767,461.9245
50,230.8674,594.1897
51,343.3498,988.9735
52,390.0627,989.2389
53,422.0914,791.7162
54,190.3269,724.3048
55,790.9781,797.4681
56,301.8116,595.5302
57,442.7185,857.9161
58,426.8495,728.1980
59,131.2511,264.1295
60,576.2262,859.6591
61,896.8795,1125.1285
62,149.5543,265.0669
63,254.7621,595.5309
64,497.1764,795.3318
65,1098.7924,1655.1261
66,185.3384,863.2684
67,555.5108,930.5326
68,92.2207,398.8006
69,357.3218,863.8010
70,940.7277,1328.0022
71,356.4438,665.8648
72,124.6428,465.7995
73,1264.9607,2394.2586
74,1106.2640,1337.1613
75,746.0532,1466.7838
76,209.3792,531.4673
77,1110.3070,1397.7930
78,82.9528,333.1317
79,555.8422,933.3252
80,204.3226,599.2646
81,102.5899,599.7960
82,779.5094,867.3884
83,103.0292,668.7808
84,121.3166,466.8623
85,623.3134,1333.3212
86,63.0887,467.9219
87,93.9592,333.9276
88,2863.2425,3412.7234
89,440.3160,800.7886
90,443.8309,1072.0824
91,657.4477,1475.3798
92,294.4161,736.0410
93,437.1271,1545.6664
94,377.4406,535.4477
95,1094.2654,1468.3783
96,403.0444,1410.6201
97,284.7011,402.5089
98,876.0465,1608.5818
99,869.2550,1140.6599
100,642.0426,1881.7014
101,209.3441,941.3770
102,1358.4058,1948.8314
103,1506.4508,1752.2981
104,606.5036,739.2033
105,825.9712,1006.5342
106,176.7936,472.9151
107,1927.2476,1816.2789
108,623.8873,674.0413
109,1375.6608,2092.5243
110,726.6807,877.7841
111,758.7640,957.9110
112,342.5376,472.1304
113,652.4226,1010.4716
114,419.5693,607.5655
115,233.0615,474.3478
116,223.4032,337.7402
117,862.8453,1286.1753
118,710.7181,1082.5666
119,436.9184,610.1720
120,1295.6194,1900.7605
121,873.0289,744.8273
122,67.8015,135.8248
123,2792.4860,3929.2893
124,705.7390,1085.2977
125,677.1973,1017.3866
126,1531.7803,2223.9273
127,336.6173,610.8220
128,915.2310,951.4197
129,85.2873,136.0838
130,269.3717,346.5736
131,990.0507,951.6790
132,93.7884,136.0838
133,714.8672,1363.8037
134,87.5120,68.1711
135,1886.4396,2864.1966
136,946.9038,1228.8808
137,153.9499,136.3421
138,1048.0355,1160.5799
139,612.6116,683.3824
140,1219.4636,2178.7470
141,1030.4709,1372.1502
142,679.7862,1364.5722
143,3590.7822,4529.9324
144,2469.5752,4042.6277
145,390.2874,886.8613
146,375.8772,1024.4902
147,662.0089,1442.1137
148,444.0213,1094.8489
149,184.4111,412.6167
150,2041.4309,2823.0589
151,153.8859,344.4417
152,547.5448,1102.2626
153,1587.0273,2751.3218
154,236.2531,482.5739
155,869.2896,2829.6592
156,481.8386,900.1339
157,358.6272,1036.1144
158,1521.5400,2287.5107
159,1929.1613,3256.9631
160,543.9884,1177.0303
161,393.3874,832.3283
162,685.0582,1528.2813
163,852.5832,1801.3968
164,108.8197,208.2084
165,648.3659,1252.2518
166,467.4953,974.6090
167,566.7355,1252.3893
168,2927.8664,4383.0123
169,837.4009,1675.5622
170,1710.7899,2587.8149
171,712.8753,1255.1427
172,1364.2221,2020.0326
173,618.2274,1328.5802
174,1673.7222,3997.2551
175,490.2099,631.2424
176,1502.0473,2033.3596
177,1529.1166,2815.0037
178,1700.4840,3656.2070
179,1729.7273,3873.5205
180,1986.8029,3381.3239
181,585.5268,1264.4628
182,581.7485,1268.7721
183,760.6896,988.0012
184,566.3202,1342.0390
185,1684.1351,3687.6919
186,224.8862,495.7749
187,625.8306,1344.1198
188,1398.0430,2766.2360
189,1226.3070,2410.8616
190,2117.5673,4471.7813
191,707.6243,1419.0732
192,314.6621,852.6116
193,295.6400,712.3256
194,1217.4034,3632.6682
195,1458.9657,3073.4086
